ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.020944595336914062,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6695594361666511
0.0,Logistic Regression,29.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs'}",0.007948875427246094,0.0009953975677490234,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6698692062637412
0.0,Logistic Regression,30.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'newton-cg'}",0.04288506507873535,0.000997304916381836,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6698683433943899
0.0,Logistic Regression,31.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'sag'}",0.05382442474365234,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6698692062637411
0.0,Logistic Regression,32.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",0.03291201591491698,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6697587589867843
0.0,Logistic Regression,33.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",0.018949031829833984,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6697924108914821
0.0,Logistic Regression,34.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",0.046874284744262695,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6697863708060237
0.0,Logistic Regression,35.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",0.22240495681762693,0.0,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.669788096544726
1.0,Decision Tree,37.0,"{'min_samples_split': 0.1, 'max_depth': 10}",0.024933338165283203,0.0009975433349609377,0.3540983606557377,0.9467213114754098,0.12876254180602004,0.2266928361138371,0.7236147495435421
1.0,Decision Tree,38.0,"{'min_samples_split': 0.1, 'max_depth': 15}",0.025930404663085938,0.0009975433349609377,0.3540983606557377,0.9467213114754098,0.12876254180602004,0.2266928361138371,0.7248391611529315
1.0,Decision Tree,39.0,"{'min_samples_split': 0.1, 'max_depth': 20}",0.024932861328125,0.000997304916381836,0.3540983606557377,0.9467213114754098,0.12876254180602004,0.2266928361138371,0.7248391611529315
2.0,Random Forest,6.0,"{'n_estimators': 100, 'max_depth': 10, 'max_features': 5}",0.2124028205871582,0.10376453399658203,0.3639344262295082,0.9959016393442623,0.1354515050167224,0.2384690873405299,0.7054703328259662
3.0,Bagging,127.0,"{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 10}",3.941460132598877,0.9055778980255128,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.7045177250622129
4.0,Naive Bayes,0.0,{},0.006980419158935547,0.001995086669921875,0.3598360655737705,0.9754098360655736,0.1326644370122631,0.2335623159960746,0.6761297548415599
5.0,KNN,32.0,"{'n_neighbors': 500, 'weights': 'uniform', 'metric': 'euclidean'}",0.051860570907592766,0.549530029296875,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6871926027936258
5.0,KNN,35.0,"{'n_neighbors': 500, 'weights': 'uniform', 'metric': 'minkowski'}",0.05086350440979004,0.4946775436401367,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6871926027936258
5.0,KNN,40.0,"{'n_neighbors': 600, 'weights': 'uniform', 'metric': 'euclidean'}",0.05086350440979004,0.6093704700469971,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6870044972750586
5.0,KNN,43.0,"{'n_neighbors': 600, 'weights': 'uniform', 'metric': 'minkowski'}",0.05086350440979004,0.5894246101379395,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6870044972750586
5.0,KNN,48.0,"{'n_neighbors': 700, 'weights': 'uniform', 'metric': 'euclidean'}",0.05186080932617188,0.6023895740509033,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6867685025074982
5.0,KNN,51.0,"{'n_neighbors': 700, 'weights': 'uniform', 'metric': 'minkowski'}",0.051861047744750984,0.6801824569702148,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6867685025074982
6.0,Linear SVM,6.0,"{'penalty': 'l2', 'C': 0.001}",0.03191423416137695,0.0009975433349609375,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6693652905626253
