ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,47.0,"{'penalty': 'l2', 'C': 10, 'solver': 'sag'}",0.2792527675628662,0.0009975433349609377,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567410002352879
0.0,Logistic Regression,51.0,"{'penalty': 'l2', 'C': 100, 'solver': 'sag'}",0.29321718215942383,0.000997304916381836,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567305429923399
0.0,Logistic Regression,55.0,"{'penalty': 'l2', 'C': 1000, 'solver': 'sag'}",0.2892270088195801,0.0,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567322858661647
1.0,Decision Tree,28.0,"{'min_samples_split': 0.08, 'max_depth': 5}",0.015955209732055664,0.0010290145874023438,0.33751425313568983,0.9485714285714286,0.12585291887793784,0.22222222222222224,0.6707720059606285
2.0,Random Forest,13.0,"{'n_estimators': 100, 'max_depth': 15, 'max_features': 10}",0.3001964092254639,0.10372638702392578,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.7006222059553999
2.0,Random Forest,36.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.6432802677154541,0.1054363250732422,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.7002013019267471
3.0,Bagging,22.0,"{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 25}",0.4268896579742432,0.050863981246948235,0.3409350057012543,0.9657142857142856,0.1281273692191054,0.22623828647925034,0.6978057218547664
4.0,Naive Bayes,0.0,{},0.00498652458190918,0.0,0.3409350057012543,0.9657142857142856,0.1281273692191054,0.22623828647925034,0.6780476327416277
5.0,KNN,49.0,"{'n_neighbors': 700, 'weights': 'uniform', 'metric': 'manhattan'}",0.03191971778869629,0.2852630615234375,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6805939713994407
5.0,KNN,64.0,"{'n_neighbors': 900, 'weights': 'uniform', 'metric': 'euclidean'}",0.02893996238708496,0.4746828079223633,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6827664636218661
5.0,KNN,67.0,"{'n_neighbors': 900, 'weights': 'uniform', 'metric': 'minkowski'}",0.03188371658325195,0.4677484035491944,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6827664636218661
6.0,Linear SVM,7.0,"{'penalty': 'l2', 'C': 0.01}",0.06682133674621582,0.0,0.3443557582668187,0.9828571428571429,0.13040181956027294,0.23025435073627845,0.6560560508222008
