ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,47.0,"{'penalty': 'l2', 'C': 10, 'solver': 'sag'}",0.27725839614868164,0.0,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567410002352879
0.0,Logistic Regression,51.0,"{'penalty': 'l2', 'C': 100, 'solver': 'sag'}",0.294219970703125,0.0,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567305429923399
0.0,Logistic Regression,55.0,"{'penalty': 'l2', 'C': 1000, 'solver': 'sag'}",0.2812178134918213,0.0,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6567322858661647
1.0,Decision Tree,28.0,"{'min_samples_split': 0.08, 'max_depth': 5}",0.015957117080688477,0.0010285377502441406,0.33751425313568983,0.9485714285714286,0.12585291887793784,0.22222222222222224,0.6707720059606285
2.0,Random Forest,13.0,"{'n_estimators': 100, 'max_depth': 15, 'max_features': 10}",0.2991998195648193,0.10472369194030763,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.7006222059553999
2.0,Random Forest,36.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.6542682647705078,0.10494542121887207,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.7002013019267471
3.0,Bagging,22.0,"{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 25}",0.4288520812988281,0.05183029174804688,0.3409350057012543,0.9657142857142856,0.1281273692191054,0.22623828647925034,0.6978057218547664
4.0,Naive Bayes,0.0,{},0.003988742828369141,0.0009970664978027344,0.3409350057012543,0.9657142857142856,0.1281273692191054,0.22623828647925034,0.6780476327416277
5.0,KNN,49.0,"{'n_neighbors': 700, 'weights': 'uniform', 'metric': 'manhattan'}",0.03191399574279785,0.26130056381225586,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6805939713994407
5.0,KNN,64.0,"{'n_neighbors': 900, 'weights': 'uniform', 'metric': 'euclidean'}",0.031914949417114265,0.4677958488464356,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6827664636218661
5.0,KNN,67.0,"{'n_neighbors': 900, 'weights': 'uniform', 'metric': 'minkowski'}",0.03188467025756836,0.4597682952880859,0.3432155074116305,0.9771428571428572,0.12964366944655042,0.22891566265060245,0.6827664636218661
6.0,Linear SVM,7.0,"{'penalty': 'l2', 'C': 0.01}",0.06582260131835938,0.0,0.3443557582668187,0.9828571428571429,0.13040181956027294,0.23025435073627845,0.6560560508222008
