ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.1499238014221191,0.08676910400390625,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6642686331495
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.5887858867645264,0.102691650390625,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6949756320438624
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.6964643001556396,0.10676240921020508,0.34207525655644244,0.9714285714285714,0.1288855193328279,0.2275769745649264,0.6951103674849459
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.9568004608154297,0.11067080497741699,0.3622950819672131,0.9877049180327868,0.1343366778149387,0.2365063788027477,0.6992041755973644
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",2.715769529342652,0.14258956909179688,0.3691222570532916,0.9647058823529412,0.13318895506226314,0.2340627973358705,0.6840830635840369
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.1000916957855225,0.09072589874267578,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6642686331495
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.5029823780059814,0.09477734565734863,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6949756320438624
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.6406137943267822,0.10172772407531737,0.34207525655644244,0.9714285714285714,0.1288855193328279,0.2275769745649264,0.6951103674849459
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.95776629447937,0.11668801307678225,0.3622950819672131,0.9877049180327868,0.1343366778149387,0.23650637880274775,0.6992041755973644
3.0,Bagging,0.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",2.5671379566192627,0.12666082382202148,0.36912225705329155,0.9647058823529412,0.13318895506226314,0.23406279733587057,0.6840830635840369
